subject,item,iteml,group,groupl,naming,graphotypingl,variability
15,9,tofa,3,typevary,0,type,high
15,10,laso,3,typevary,0,type,high
15,11,tefa,3,typevary,1,type,high
15,12,nape,3,typevary,1,type,high
15,13,lesa,3,typevary,1,type,high
15,14,nafo,3,typevary,0,type,high
15,15,tepo,3,typevary,1,type,high
15,16,lofe,3,typevary,0,type,high
16,1,tofe,3,typevary,0,type,high
16,2,leso,3,typevary,0,type,high
16,3,nopa,3,typevary,0,type,high
16,4,tafo,3,typevary,0,type,high
16,5,nesa,3,typevary,0,type,high
16,6,lape,3,typevary,0,type,high
16,7,lose,3,typevary,1,type,high
16,8,nepo,3,typevary,0,type,high
16,9,tofa,3,typevary,1,type,high
16,10,laso,3,typevary,0,type,high
16,11,tefa,3,typevary,0,type,high
16,12,nape,3,typevary,0,type,high
16,13,lesa,3,typevary,0,type,high
16,14,nafo,3,typevary,0,type,high
16,15,tepo,3,typevary,0,type,high
16,16,lofe,3,typevary,0,type,high
17,1,tofe,3,typevary,1,type,high
17,2,leso,3,typevary,1,type,high
17,3,nopa,3,typevary,1,type,high
17,4,tafo,3,typevary,1,type,high
17,5,nesa,3,typevary,1,type,high
17,6,lape,3,typevary,1,type,high
17,7,lose,3,typevary,1,type,high
17,8,nepo,3,typevary,1,type,high
17,9,tofa,3,typevary,1,type,high
17,10,laso,3,typevary,0,type,high
17,11,tefa,3,typevary,1,type,high
17,12,nape,3,typevary,1,type,high
17,13,lesa,3,typevary,1,type,high
17,14,nafo,3,typevary,0,type,high
17,15,tepo,3,typevary,1,type,high
17,16,lofe,3,typevary,1,type,high
18,1,tofe,3,typevary,1,type,high
18,2,leso,3,typevary,1,type,high
18,3,nopa,3,typevary,1,type,high
18,4,tafo,3,typevary,1,type,high
18,5,nesa,3,typevary,1,type,high
18,6,lape,3,typevary,1,type,high
18,7,lose,3,typevary,0,type,high
18,8,nepo,3,typevary,1,type,high
18,9,tofa,3,typevary,0,type,high
18,10,laso,3,typevary,1,type,high
18,11,tefa,3,typevary,1,type,high
18,12,nape,3,typevary,1,type,high
18,13,lesa,3,typevary,1,type,high
18,14,nafo,3,typevary,1,type,high
18,15,tepo,3,typevary,1,type,high
18,16,lofe,3,typevary,1,type,high
19,1,tofe,3,typevary,1,type,high
19,2,leso,3,typevary,1,type,high
19,3,nopa,3,typevary,1,type,high
19,4,tafo,3,typevary,1,type,high
19,5,nesa,3,typevary,1,type,high
19,6,lape,3,typevary,1,type,high
19,7,lose,3,typevary,0,type,high
19,8,nepo,3,typevary,0,type,high
19,9,tofa,3,typevary,1,type,high
19,10,laso,3,typevary,1,type,high
19,11,tefa,3,typevary,0,type,high
19,12,nape,3,typevary,1,type,high
19,13,lesa,3,typevary,0,type,high
19,14,nafo,3,typevary,0,type,high
19,15,tepo,3,typevary,1,type,high
19,16,lofe,3,typevary,1,type,high
20,1,tofe,3,typevary,0,type,high
20,2,leso,3,typevary,0,type,high
20,3,nopa,3,typevary,0,type,high
20,4,tafo,3,typevary,0,type,high
20,5,nesa,3,typevary,0,type,high
20,6,lape,3,typevary,1,type,high
20,7,lose,3,typevary,0,type,high
20,8,nepo,3,typevary,0,type,high
20,9,tofa,3,typevary,0,type,high
20,10,laso,3,typevary,0,type,high
20,11,tefa,3,typevary,0,type,high
20,12,nape,3,typevary,0,type,high
20,13,lesa,3,typevary,0,type,high
