FIPS,County,State,Total.Pop.2023,Sex.Ratio.2023,Sex.Ratio.2013,Sex.Ratio.2003,Sex.Ratio.Age.0.19.2023,Sex.Ratio.Age.20.39.2023,Sex.Ratio.Age.40.59.2023,Sex.Ratio.Age.60.79.2023,Sex.Ratio.Age.80plus.2023
29510,St. Louis city,Montana,281754,93.49907287,93.56948361,89.27095343,102.9151447,93.55559198,96.28295935,87.93571208,57.45325022
30001,Beaverhead County,Montana,9885,104.8704663,104.9328342,103.725851,101.8737673,101.6470588,111.6370809,106.1256961,100
30003,Big Horn County,Montana,12751,97.75124069,97.90283645,98.19539515,111.0361446,95.00316256,89.12280702,88.33333333,100
30005,Blaine County,Montana,6899,103.3903302,101.304216,98.22064057,99.16666667,116.4218959,106.2146893,99.42363112,75.77639752
30007,Broadwater County,Montana,8032,108.2987552,105.5776892,103.603182,106.7995311,110.5515588,107.5156576,107.7431539,113.1578947
30009,Carbon County,Montana,11419,105.340766,101.9339715,101.3383522,113.3266533,99.52830189,110.7714702,101.9337017,95.61128527
30011,Carter County,Montana,1418,104.9132948,101.3986014,95.18796992,119.1780822,97.16312057,99.26470588,110.1941748,84.12698413
30013,Cascade County,Montana,84900,103.4263807,101.6090657,98.13944331,109.1314935,114.7224531,104.4631953,92.77459656,68.36065574
30015,Chouteau County,Montana,5847,100.7898352,99.14937053,100.1079137,97.45889387,104.7913447,106.4770932,99.00249377,85.0931677
30017,Custer County,Montana,11985,101.4624307,100.5913161,97.01257862,107.3899371,106.7226891,105.3472222,96.11186903,64.13994169
30019,Daniels County,Montana,1633,110.4381443,101.2457531,99.57264957,107.1428571,104.1666667,133.3333333,118.8405797,62.5
30021,Dawson County,Montana,8810,108.8667615,106.2664908,99.3147556,115.8054711,116.872428,115.4584222,102.7938343,57.59717314
30023,Deer Lodge County,Montana,9673,113.2025568,115.1289798,101.1859476,109.1900312,134.6439957,115.6666667,104.2310275,86.03773585
30025,Fallon County,Montana,2994,103.1207598,106.0175794,101.1895911,106.4197531,111.3149847,106.4814815,95.58823529,70.51282051
30027,Fergus County,Montana,11772,103.4214619,101.2993854,95.11073254,107.9029734,104.9099836,101.7011834,103.7060302,86.88046647
30029,Flathead County,Montana,113679,100.7398905,99.38426552,99.43147515,107.066448,102.5512494,102.6791549,94.68895472,82.32242618
30031,Gallatin County,Montana,126409,109.5500961,106.2485042,107.8923966,107.4520989,118.3240277,110.5770646,98.53896104,80.78193833
30033,Garfield County,Montana,1211,99.8349835,101.9323671,106.5436242,103.2051282,94.7826087,99.31034483,111.8055556,65.2173913
30035,Glacier County,Montana,13609,94.9713467,96.11719528,98.90258569,98.88143177,98.92533937,95.12358049,88.68525896,59.11111111
30037,Golden Valley County,Montana,835,93.73549884,104.3478261,105.7086614,94.93670886,90.27777778,90.32258065,104.7945205,65.85365854
30039,Granite County,Montana,3595,107.0852535,102.0408163,102.4062279,99.669967,106.9908815,110.1485149,111.8067979,95.74468085
30041,Hill County,Montana,16276,101.9354839,101.8186257,100.3096742,101.1857708,106.6099149,103.0048077,101.4915694,75.84097859
30043,Jefferson County,Montana,13048,102.4515128,103.4635879,100.234055,102.6315789,110.8837971,100.5190311,98.65519096,101.7857143
30045,Judith Basin County,Montana,2093,104.9951028,107.6843198,107.4003795,99.53051643,106.2827225,104.6610169,117.6271186,73.25581395
30047,Lake County,Montana,33338,98.06321293,97.35023041,97.83815367,105.054716,104.0432802,91.60111647,94.68495499,90.51428571
30049,Lewis and Clark County,Montana,75011,98.67832075,97.78067489,96.97032651,102.5781615,101.2900405,101.8982452,94.16414032,72.91546866
30051,Liberty County,Montana,1974,93.90962672,91.87652315,97.64243615,100.4201681,95.41284404,87.93103448,103.3898305,64.89361702
30053,Lincoln County,Montana,21895,102.3941579,102.5654396,102.6566087,107.3242188,97.16055756,99.03063203,106.384165,94.0029985
30055,McCone County,Montana,1676,105.6441718,106.1298077,100.6779661,90.72164948,120.8053691,104.1176471,116.4502165,83.09859155
30057,Madison County,Montana,9521,108.1092896,107.6860622,103.6494167,108.5787452,110.8078603,107.0305273,108.9895013,97.06959707
30059,Meagher County,Montana,2071,110.8961303,103.4188034,102.6511135,154.375,104.4444444,106.7307692,105.1136364,75.6097561
30061,Mineral County,Montana,5090,107.6703386,106.6471163,108.9217296,115.5279503,107.2527473,104.4905009,105.9662776,104.9079755
30063,Missoula County,Montana,121849,101.0742752,100.7859181,100.0260265,106.3984925,103.464591,104.8603111,92.41042866,77.10021322
30065,Musselshell County,Montana,5308,104.5472062,98.59991515,96.72939068,119.5028681,104.5454545,103.8338658,96.73913043,97.76119403
30067,Park County,Montana,17903,101.9514946,100.1785259,97.85859098,109.5207668,101.5362458,104.2388332,101.4758676,73.25581395
30069,Petroleum County,Montana,554,125.203252,111.7647059,107.2340426,140,118.6046512,113.1147541,127.027027,134.7826087
30071,Phillips County,Montana,4249,102.0446981,100.2407318,100.8662175,104.8327138,103.4482759,104.8997773,102.0869565,77.03703704
30073,Pondera County,Montana,6125,101.4802632,94.98117942,97.47654481,108.1902246,105.1515152,101.5197568,100.5242464,67.82178218
30075,Powder River County,Montana,1743,104.3376319,101.9585253,96.30434783,97.09302326,111.2582781,105.5555556,113.028169,66.66666667
30077,Powell County*,Montana,7133,172.8768171,158.1447124,148.4640405,114.8775895,273.5812133,221.2662338,123.241206,104.375
30079,Prairie County,Montana,1112,109.0225564,105.840708,105.9033989,122,102.5641026,125.2525253,100.9803922,94.11764706
30081,Ravalli County,Montana,47738,100.8498822,98.29343215,98.79212027,114.9223947,104.2644842,100.4020979,93.48775645,85.07462687
30083,Richland County,Montana,11173,109.5854436,108.8764045,98.61993428,106.4189189,114.2857143,108.6786552,111.668186,98.07692308
30085,Roosevelt County,Montana,10319,101.9373777,100.1985918,97.83151027,112.4,102.5835866,101.3752456,87.54208754,59.25925926
30087,Rosebud County,Montana,8160,99.55979457,101.691974,99.78378378,103.4672971,98.61259338,104.3632075,93.7286203,80.37974684
30089,Sanders County,Montana,13684,105.8053843,103.4538586,103.1390135,109.7233864,102.0797227,103.0799476,106.9344609,108.5158151
30091,Sheridan County,Montana,3498,110.3427541,105.3227633,98.13084112,127.0655271,121.2903226,95,112.7516779,79.13043478
30093,Silver Bow County,Montana,36360,104.4879366,103.0778267,97.47628423,105.0399202,115.3129738,110.0419442,93.36951392,72.60115607
30095,Stillwater County,Montana,9173,103.3473731,103.9444689,106.8445762,107.1641791,106.4903846,103.7701975,102.5679758,78.38983051
30097,Sweet Grass County,Montana,3763,104.0672451,101.8763797,102.9612756,101.8567639,112,110.1616628,99.81515712,88.11188811
30099,Teton County,Montana,6430,97.11833231,97.35812133,97.19276357,96.80729761,104.7256098,94.14168937,98.17232376,82.53275109
30101,Toole County*,Montana,5133,143.5009488,128.3102987,106.5600656,103.2646048,221.7105263,161.4906832,118.9655172,65.85365854
30103,Treasure County,Montana,772,103.6939314,104.4247788,107.2625698,94.94949495,98.57142857,111.1111111,112.0689655,96.77419355
30105,Valley County,Montana,7474,101.7818575,100.6840305,98.213795,108.1422018,107.9019074,105.204461,100.310559,66.76923077
30107,Wheatland County,Montana,2057,103.6633663,100.0942507,96.35514019,109.8901099,106.4516129,103.5874439,103.0075188,70.96774194
30109,Wibaux County,Montana,910,100,99.09584087,95.75757576,109.0909091,83.49514563,104.7169811,113.0841121,72.5
35011,De Baca County,NA,1657,107.6441103,97.54098361,99.80676329,108.5561497,114.9659864,109.9378882,102.7888446,100
30111,Yellowstone County,Nebraska,170843,98.3801484,96.07405613,95.532318,103.9570758,102.0565324,101.4780785,91.65180742,66.2349894
31001,Adams County,Nebraska,30899,99.61883843,100.5534351,96.588343,104.2004422,103.9047874,100.7409603,95.11213341,71.72582619
31003,Antelope County,Nebraska,6302,103.8822388,100.8690255,98.16462736,108.3023544,109.7199341,110.801964,101.595092,66.13545817
31005,Arthur County,Nebraska,412,102.955665,93.19148936,102.5125628,103.7037037,110,92.30769231,119.5121951,75
31007,Banner County,Nebraska,674,98.820059,99.41176471,106.504065,107.5,88.13559322,89.47368421,103.6697248,106.6666667
31009,Blaine County,Nebraska,436,97.28506787,106.1403509,110.6299213,106.25,70,100,107.8125,110
31011,Boone County,Nebraska,5310,102.5171625,99.2248062,100.3424658,97.17514124,113.8832998,111.026616,107.1856287,60.0896861
31013,Box Butte County,Nebraska,10692,102.0408163,100,100.0688942,102.8188865,103.5532995,106.9087688,105.4574639,62.02531646
31015,Boyd County,Nebraska,1725,101.048951,97.84102061,92.32693912,89.83957219,114.4927536,120.625,105.734767,56.38297872
31017,Brown County,Nebraska,2853,97.16655149,94.99011206,97.32041049,97.0845481,114.8409894,100.6514658,93.65079365,62.5
31019,Buffalo County,Nebraska,50697,101.0509201,98.88538991,96.95230286,105.5725191,107.2080797,104.6886722,92.19501988,62.47174077
31021,Burt County,Nebraska,6727,103.6016949,97.77242625,94.67972472,111.1538462,108.0060423,99.47368421,106.6822978,70.2811245
31023,Butler County,Nebraska,8459,104.9672886,102.5842973,104.6063455,102.2603978,114.1997593,113.2771338,104.5824847,57.91505792
31025,Cass County,Nebraska,27446,104.2113095,102.1820798,98.01791802,112.239826,107.8237103,100.4464286,103.8349984,68.36902801
31027,Cedar County,Nebraska,8262,106.4983754,103.7562013,100,115.7644824,109.1494845,106.0571429,106.496063,65.83629893
31029,Chase County,Nebraska,3724,100.1074691,97.66633565,96.59931,107.5,102.4523161,107.1253071,104.6511628,48.02259887
31031,Cherry County,Nebraska,5492,106.8549906,100.3830084,100.9462656,107.1428571,116.5048544,108.4552846,99.09502262,100.617284
31033,Cheyenne County,Nebraska,9541,101.8404908,99.03123764,97.54378901,103.0560272,105.8941059,110.7662464,100,62.22222222
31035,Clay County,Nebraska,6116,106.1341422,103.2608696,97.97297297,108.5080148,115.6398104,103.9938556,105.9238364,66.87116564
31037,Colfax County,Nebraska,10566,116.1620295,106.7233538,104.9044711,96.85216414,133.9147287,143.2485323,113.9120095,70.56074766
31039,Cuming County,Nebraska,8918,100.9463722,99.95561474,101.7890191,103.4223706,101.3727561,105.8823529,104.9445005,66.57142857
31041,Custer County,Nebraska,10581,102.1203438,99.37396428,97.48119643,108.757485,110.2059925,104.8715678,98.49056604,60.21220159
31043,Dakota County,Nebraska,21268,105.1905451,99.6250721,100.6389462,109.2312442,103.4947215,109.9909991,100.6176305,76.06382979
31045,Dawes County,Nebraska,8133,93.55069015,97.64449291,94.76719351,95.93657086,99.31153184,97.57575758,90.27322404,61.16838488
31047,Dawson County,Nebraska,24085,113.1415929,103.4736931,103.9526351,111.4583333,119.9030936,119.1353082,108.4064665,78.91566265
31049,Deuel County,Nebraska,1871,103.5908596,97.5308642,94.97536946,103.4146341,91.08280255,107.4418605,110.989011,91.30434783
31051,Dixon County,Nebraska,5491,105.0410754,102.683862,101.6627868,108.1491713,103.6297641,113.6915078,106.1538462,64.20454545
31053,Dodge County,Nebraska,37187,100.4149825,96.60094807,93.64496082,100.369506,108.0984233,106.7645643,93.10681985,71.48676171
31055,Douglas County,Nebraska,589540,98.60530926,96.82720128,96.38155318,103.9754969,101.3130315,102.2662441,88.37101471,64.66837948
31057,Dundy County,Nebraska,1561,96.59949622,99.48979592,98.79294336,110.0671141,93.70629371,95.67567568,103.7344398,55.26315789
31059,Fillmore County,Nebraska,5548,100.796236,97.99789252,93.08366053,105,104.4596913,107.5872534,98.20441989,67.74193548
31061,Franklin County,Nebraska,2825,103.9711191,100.4581152,92.98345693,118.5185185,104.4280443,97.39413681,102.8277635,87.60330579
31063,Frontier County,Nebraska,2585,107.4638844,104.5180723,100.6293706,127.4647887,104.1044776,97.77777778,115.5555556,64.22018349
31065,Furnas County,Nebraska,4556,103.7567084,99.42196532,92.30185817,114.2857143,115.8653846,103.1128405,95.85987261,74.71264368
31067,Gage County,Nebraska,21634,100.9474271,97.4689286,94.96966633,105.9533074,108.7233076,101.5533981,96.4549483,73.73595506
31069,Garden County,Nebraska,1794,101.3468013,105.6684492,94.09171076,116.1676647,98.125,94.23076923,102.2222222,93.02325581
31071,Garfield County,Nebraska,1763,103.1105991,97.07602339,92.91754757,119.6428571,104.4692737,101.1627907,115.6378601,49.05660377
31073,Gosper County,Nebraska,1847,111.8119266,103.9433771,99.90356798,121.875,101.7241379,107.7272727,113.6752137,117.3076923
31075,Grant County,Nebraska,565,107.7205882,113.1313131,103.9393939,110,115.3846154,115.6862745,96.42857143,106.6666667
31077,Greeley County,Nebraska,2219,105.0831793,99.75864843,98.45320959,109.057971,108.5714286,100.4219409,114.6067416,69.56521739
31079,Hall County,Nebraska,62197,104.763786,100.8200803,99.57448383,111.5073488,108.2515791,107.0010001,95.36652835,70.96069869
31081,Hamilton County,Nebraska,9537,103.3909149,100.5275885,98.54245881,116.3370593,106.8359375,101.7086331,95.04504505,76.78571429
31083,Harlan County,Nebraska,3045,106.300813,107.1258907,96.33027523,113.4897361,97.76119403,107.1856287,109.4036697,87.62886598
31085,Hayes County,Nebraska,846,101.9093079,110.9131403,99.81651376,89.16666667,123.1884058,98.63013699,114.7826087,73.80952381
31087,Hitchcock County,Nebraska,2552,104.8154093,98.53862213,91.33757962,119.9324324,106.1403509,113.1578947,97.97101449,63.06306306
31089,Holt County,Nebraska,10093,102.3050712,98.66028708,96.13648673,111.9065561,101.7329256,101.8304432,100.462963,75.50432277
31091,Hooker County,Nebraska,679,92.89772727,92.36842105,87.72378517,97.61904762,79.03225806,114.4736842,87.75510204,71.875
31093,Howard County,Nebraska,6527,102.8278434,102.5895141,100.3661886,109.7772277,102.5449102,106.1579652,99.10941476,78.94736842
31095,Jefferson County,Nebraska,7054,98.0348119,98.57256146,95.33235582,97.31543624,97.57489301,101.5247776,104.7097481,68.53932584
31097,Johnson County*,Nebraska,5198,152.8210117,139.7679814,115.8994032,100.1923077,272.6582278,187.7682403,114.8,54.28571429
31099,Kearney County,Nebraska,6770,101.0095012,97.14285714,98.39883552,105.8757062,97.87234043,109.5628415,95.0310559,83.50515464
31101,Keith County,Nebraska,8113,102.0169323,100.8370261,95.87458746,110,108.2655827,104.2528736,96.72399672,78.82736156
31103,Keya Paha County,Nebraska,805,112.4010554,94.58128079,102.7484144,112.6582278,116.1764706,109.7222222,119.2982456,93.47826087
