MSA,Water_Using_Cluster,Days,Bathtub_prop,RO_system_prop,Humidifer_prop,Evaporative_cooler_prop,Ice_make_prop,Year_built_mean,Home_value_per_sqft_prctl_mean,Home_size_prctl_mean,Avg_msa_daily_temp,Avg_msa_daily_ppt,daily_vol_cw_pc,daily_vol_dw_pc,daily_vol_faucet_pc,daily_vol_indoor_pc,daily_vol_leak_pc,daily_vol_shower_pc,daily_vol_soft_pc,daily_vol_toilet_pc,Daily_vol_mean
"Atlanta, Ga",Medium Water-Using Cluster,29,0.6015625,0.02734375,0.109375,0.00390625,0.41796875,27.00787402,0.489559785,0.502739379,4.827542,0,46.82096408,6.420099026,16.95037358,16.13150458,45.93788415,57.6830617,,55.15353075,135.9099715
"Atlanta, Ga",Medium Water-Using Cluster,30,0.615686275,0.023529412,0.11372549,0.003921569,0.431372549,27.47035573,0.499619545,0.49519953,11.733536,0.038342446,57.18002196,5.695572355,15.57630234,16.79335064,41.22523625,54.72373651,,51.68114189,132.5406631
"Atlanta, Ga",Medium Water-Using Cluster,31,0.61003861,0.027027027,0.104247104,0.003861004,0.432432432,27.61089494,0.50569306,0.494696061,12.758374,1.8021613,49.44414839,6.375693869,16.65105979,15.69408998,35.34919137,54.97364391,,56.03462833,136.7441744
"Atlanta, Ga",Medium Water-Using Cluster,32,0.607692308,0.026923077,0.115384615,0.003846154,0.434615385,27.60077519,0.505939218,0.504785966,13.719057,2.9543507,44.93734634,6.970960502,17.28460653,13.79987795,26.90454815,56.872593,48.95516664,57.94230619,138.6718235
"Atlanta, Ga",Medium Water-Using Cluster,33,0.616600791,0.023715415,0.118577075,0.003952569,0.43083004,27.27091633,0.504971767,0.501024665,13.944121,0.105481535,51.80259371,6.563380801,17.70281949,17.7393266,25.13504223,58.52366601,,55.43318434,143.3266582
"Atlanta, Ga",Medium Water-Using Cluster,34,0.620155039,0.019379845,0.104651163,0.003875969,0.434108527,26.91796875,0.501498481,0.503055117,14.892332,2.7818124,55.57435915,8.157272158,16.45535059,18.46717925,39.69193193,54.50333573,,47.64839628,131.8939775
"Atlanta, Ga",Medium Water-Using Cluster,35,0.642424242,0.042424242,0.115151515,0.006060606,0.442424242,28.30487805,0.499056642,0.497581818,17.826765,65.05281,46.40448195,8.071596823,16.75223205,14.77297308,26.57869269,53.47241877,28.45527347,45.3008448,131.3992549
"Atlanta, Ga",Medium Water-Using Cluster,36,0.658385093,0.043478261,0.130434783,0.00621118,0.453416149,28.75625,0.513207905,0.487935028,12.660378,8.528121,48.54099946,7.600297025,15.73995399,17.16080123,31.85148714,54.46620316,,45.7009946,134.6566965
"Atlanta, Ga",Medium Water-Using Cluster,37,0.65060241,0.042168675,0.120481928,0.006024096,0.451807229,28.36969697,0.508939962,0.482136648,9.224636,0.000573287,43.42736937,7.670757427,17.43958003,19.73945918,34.71568486,60.88181622,28.57246982,47.15634381,141.0106534
"Atlanta, Ga",Medium Water-Using Cluster,38,0.64556962,0.044303797,0.126582278,0.006329114,0.443037975,28.08917197,0.517552612,0.486524308,7.3575816,0.011945482,45.07573862,8.459169855,17.47513544,17.86798894,36.61346051,56.29707403,,44.92945716,135.0816277
"Atlanta, Ga",Medium Water-Using Cluster,39,0.643312102,0.044585987,0.121019108,0.006369427,0.433121019,28.23076923,0.520449664,0.491666881,8.97768,0.46663508,46.80179689,9.29913689,17.49573785,19.46274271,45.49735432,62.1431861,28.92405886,50.23808502,152.8765878
"Atlanta, Ga",Medium Water-Using Cluster,40,0.648484848,0.042424242,0.127272727,0.006060606,0.442424242,28.5,0.520680564,0.481454955,10.3267145,6.975586,46.41028351,8.065998139,17.94811244,17.23116197,21.61605106,53.39315698,86.40300809,49.50904452,136.0527263
"Atlanta, Ga",Medium Water-Using Cluster,41,0.648809524,0.041666667,0.125,0.005952381,0.452380952,29.01197605,0.521406314,0.483365976,6.069322,0.000309346,44.59689934,7.917601656,15.13049507,17.39453142,52.35082646,55.28695486,,43.83649551,136.3100723
"Atlanta, Ga",Medium Water-Using Cluster,42,0.619771863,0.030418251,0.114068441,0.003802281,0.437262357,27.49808429,0.510487159,0.493648046,7.7569213,0,54.79336529,5.851311923,15.93435032,19.20800989,46.0606919,56.67478222,18.39982675,48.48063975,133.8714679
"Atlanta, Ga",Medium Water-Using Cluster,43,0.623574144,0.030418251,0.106463878,0.003802281,0.433460076,27.49042146,0.506871197,0.500575763,11.393297,0.24646915,56.44830925,6.074262517,16.60731217,17.26793049,45.04260613,52.36951048,28.72482507,49.65633174,131.8224921
"Atlanta, Ga",Medium Water-Using Cluster,44,0.627376426,0.02661597,0.114068441,0.003802281,0.441064639,27.23371648,0.50757615,0.499644643,13.234571,16.511986,63.58510683,5.983191907,15.4916988,15.17198777,35.55349013,51.75307942,16.81767604,48.99682944,132.5576942
"Atlanta, Ga",Medium Water-Using Cluster,45,0.618867925,0.030188679,0.113207547,0.003773585,0.430188679,27.53612167,0.505466953,0.497139323,3.6430779,0.4746919,55.14247859,6.199446447,16.8439294,16.55229057,39.23775409,54.33276456,29.42214334,54.76873574,138.5289573
"Atlanta, Ga",Medium Water-Using Cluster,46,0.604651163,0.027131783,0.104651163,0.003875969,0.418604651,27.42578125,0.508107535,0.500956999,1.5876293,7.77E-05,60.17578213,6.161527679,18.15097539,16.55392624,42.86797431,54.18736352,4.072573118,57.42627714,145.4451589
"Atlanta, Ga",Medium Water-Using Cluster,47,0.618867925,0.030188679,0.105660377,0.003773585,0.430188679,27.47528517,0.512068302,0.500205421,5.091689,0.005886604,53.23615773,6.118873453,18.06832452,18.37027287,45.92590927,58.21354803,32.87357581,56.43858624,151.2036503
"Atlanta, Ga",Medium Water-Using Cluster,48,0.621323529,0.029411765,0.110294118,0.003676471,0.433823529,27.51111111,0.510159082,0.495470764,7.096504,1.5506495,49.39969846,5.795982287,15.75010534,20.53987421,38.52621612,54.06311118,29.01781594,51.14603234,133.439723
"Atlanta, Ga",Medium Water-Using Cluster,49,0.619402985,0.029850746,0.115671642,0.003731343,0.432835821,27.55639098,0.508772117,0.498686833,12.351166,8.110722,48.65635012,6.556728643,16.12680064,15.96827632,38.58139584,55.57896145,2.840038247,50.32097505,135.2064322
"Atlanta, Ga",Medium Water-Using Cluster,50,0.624535316,0.026022305,0.115241636,0.003717472,0.431226766,27.35580524,0.508379873,0.501357869,15.245961,1.4580464,44.92386688,6.190432871,16.18409466,15.18610672,41.12566533,54.59961906,28.66622689,49.82325609,132.5589356
"Atlanta, Ga",Medium Water-Using Cluster,51,0.62962963,0.025925926,0.114814815,0.003703704,0.433333333,27.58955224,0.507679454,0.500420595,13.924823,1.390996,45.39885777,5.959507721,15.08009069,16.20013685,45.7778017,51.22612891,58.67630525,50.23614304,127.3875318
"Atlanta, Ga",Medium Water-Using Cluster,52,0.632183908,0.026819923,0.114942529,0.003831418,0.432950192,27.42471042,0.506103478,0.507996784,9.016293,0.002345016,52.50218876,6.394029041,16.59376287,13.05599836,35.8525482,55.47462685,17.43295687,53.00990206,138.6295443
"Atlanta, Ga",Medium Water-Using Cluster,53,0.62835249,0.026819923,0.118773946,0.003831418,0.432950192,27.12741313,0.508961263,0.502964129,6.591666,35.783524,49.70266596,6.554669889,17.79668541,23.33336385,33.05311633,55.69992241,54.43770398,54.24413077,143.9126331
"Atlanta, Ga",Medium Water-Using Cluster,54,0.629213483,0.026217228,0.116104869,0.003745318,0.434456929,27.23773585,0.501171524,0.496001782,5.536638,7.259786,47.17231188,6.023068864,17.24462979,20.50537715,49.18113629,52.71033884,28.56075018,49.42481218,133.419321
"Atlanta, Ga",Medium Water-Using Cluster,55,0.628252788,0.026022305,0.115241636,0.003717472,0.431226766,27.35955056,0.502079713,0.498625501,2.6728191,0.069951326,52.35460464,6.100531058,17.09894338,20.46981589,38.97954586,55.63117505,,50.71780601,135.2639648
